Index,cafes name,Overall_Rating,Cuisine,Rate for two,location,Review,Neighborhood,Ambiance,Dietary_Options,Seating_Type,Work_Friendly,Special_Features,Opening_Hours,Alternative_Milk_Options,Food_Menu,Contact Mails,Contact_Number
11,Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,waiters denied to serve the food,Old Town,Lively,None,Indoor,Yes,Pet-friendly,8 AM - 11 PM,None,"Pastries, Sandwiches, Salads",contact@kaffee-masthai.com,9.17E+11
12,Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,not tasty today food ,Suburb,Rustic,None,Indoor,No,Board Games,9 AM - 9 PM,Oat,Vegan & Organic Food,contact@kaffee-masthai.com,9.16E+11
13,Unlocked,4,"Cafe, Fast Food, North Indian, Chinese, Desserts, Beverages, Italian","1,200",ahmedabad,potion size has reduced. quality of food is nice ,Old Town,Modern,Vegan-friendly,Outdoor,Yes,Live Music,6 AM - 8 PM,Oat,"Pastries, Sandwiches, Salads",contact@unlocked.com,9.17E+11
14,Caffix - The Tech Cafe,3.9,"Cafe, Sandwich, Italian, Continental, Oriental, Salad, Desserts, Beverages","1,000",ahmedabad,Zomato shows 15% off on dining bill and the owner says we can offer 15% discount only if the bill is a minimum of Rs. 1000. Zomato doesn't mention any such thing but these guys have their own rules.What a joke! Customer banne se pehle hi customer tut gaya. ,Riverside,Cozy,Vegan-friendly,Both,Yes,Board Games,9 AM - 9 PM,None,"Pastries, Sandwiches, Salads",contact@caffix-thetechcafe.com,9.20E+11
15,Caffix - The Tech Cafe,3.9,"Cafe, Sandwich, Italian, Continental, Oriental, Salad, Desserts, Beverages","1,000",ahmedabad,"I received the delivery 15 minutes late, but it was worth👍👍",Downtown,Modern,None,Indoor,Yes,Board Games,6 AM - 8 PM,Oat,Only Beverages,contact@caffix-thetechcafe.com,9.17E+11
16,Novelchef Cafe & Lounge,4.2,"Cafe, Continental, Italian, Fast Food, Desserts, Beverages",950,ahmedabad,"Tried a new quiet amazing place after quite some time and I’ll just say that I LOVED IT. Food, ambience and Anurag Pandey ji ki service aaayyhayyyhayyhayyy 🫶🏻 maza aa gaya 🎉",Suburb,Cozy,Gluten-free options,Indoor,No,Pet-friendly,6 AM - 8 PM,Soy,Only Beverages,contact@novelchefcafeandlounge.com,9.17E+11
17,Gamysticafe,4.2,"Cafe, Beverages, Sandwich, Fast Food, Mexican, Chinese, Desserts, Shake",950,ahmedabad,New concept of the cafe is quiet appealing that’s game+foodLike the food here Have visited this cafe several times Previously it used to b so much chaotic which was a minus point but now I think that is managed Every item v ordered here so far is yummy so far no complaints They have recently made changes in menu which I think is trouble becoz very short menu by far but I would appreciate that they manage to make a whole wheat paratha in place of all purpose flour in their combos Secondly their Mexican Buddha bowl is so yum,Old Town,Quiet,Vegan-friendly,Both,Yes,Board Games,6 AM - 8 PM,Oat,Only Beverages,contact@gamysticafe.com,9.16E+11
18,Gamysticafe,4.2,"Cafe, Beverages, Sandwich, Fast Food, Mexican, Chinese, Desserts, Shake",950,ahmedabad,"okay-ish cafe, only go here if you're interest in video games and have a large friend group. I had kitkat shake, it turned out, again, okay.",Old Town,Quiet,Keto-friendly,Both,Yes,Live Music,8 AM - 11 PM,Soy,Vegan & Organic Food,contact@gamysticafe.com,9.19E+11
19,Xero Degrees,4,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,Drooling Food 😋🤤Most #Instagrammable Cafe of #Ahmedabad@xerodegrees_india What I have tried Here ✅Cheesy margarita pizzaMango mint coolerCheese balls friesF.R.I.E.N.D sliders Nutella oreo shakeDo visit this Place with your friends & Family !,Suburb,Lively,None,Outdoor,No,None,9 AM - 9 PM,Soy,"Pastries, Sandwiches, Salads",contact@xerodegrees.com,9.18E+11
20,Xero Degrees,4,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,"Favourite place for hangout with friends nearby SBRLove there Fries, Mocktail’s & shakes Best 6 items to try out at here 💌- Peri Peri Cheesy Fries 💜- Makhni Paneer Heart Shape Pizza 💙- American Cheese Burger 🖤- Friends Sliders 💛- Kwi Coolers 💚- Choco Brownie Freak shake 🤎Xero Degrees is a casual fast food cafe serving American cuisine 💙Ultimate destination for finger-licking food ✅",Suburb,Lively,Vegan-friendly,Both,Yes,Board Games,8 AM - 11 PM,Almond,Full Breakfast & Lunch,contact@xerodegrees.com,9.17E+11
21,Xero Degrees,4,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,bakwas,Downtown,Rustic,Keto-friendly,Both,No,Board Games,7 AM - 10 PM,Coconut,Only Beverages,contact@xerodegrees.com,9.16E+11
22,Xero Degrees,4,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,"The staff is rude, they behave as if they are obliging on us & providing service & food for free. We ordered alfredo pasta, jain margarita pizza & fried wonton. Pasta & wonton were good but pizza was way to sweet. Upon confronting the staff their response was slow & made faces. They responded that we use ready-made sauces so it would taste sweet only in a rude way & didn't mention it at the time of placing the order. We do understand that servers are not responsible for taste of food but they should respond properly.",Suburb,Lively,None,Both,Yes,Open Mic Nights,7 AM - 10 PM,None,"Pastries, Sandwiches, Salads",contact@xerodegrees.com,9.19E+11
23,Cuppuccino,3.6,"Cafe, North Indian, Chinese, Mexican, Pizza, Pasta, Fast Food, Beverages",850,ahmedabad,very bad taste I hate it...it was not baked properly ,City Center,Cozy,Vegan-friendly,Indoor,No,None,9 AM - 9 PM,Oat,Full Breakfast & Lunch,contact@cuppuccino.com,9.17E+11
24,Core The Coffee Shop @ Lithosphere,3.8,"Pizza, Burger, Pasta, Oriental, Cafe, Shake, Beverages","2,000",ahmedabad,there were two thick strands of hair in my sandwich ,City Center,Lively,Keto-friendly,Both,No,Pet-friendly,6 AM - 8 PM,Oat,"Pastries, Sandwiches, Salads",contact@corethecoffeeshop@lithosphere.com,9.18E+11
25,Core The Coffee Shop @ Lithosphere,3.8,"Pizza, Burger, Pasta, Oriental, Cafe, Shake, Beverages","2,000",ahmedabad,too late,Suburb,Modern,None,Outdoor,Yes,Board Games,8 AM - 11 PM,Oat,Vegan & Organic Food,contact@corethecoffeeshop@lithosphere.com,9.19E+11
26,Fyro,3,"Cafe, Coffee, Shake, Beverages",600,ahmedabad,"Worst service, the staff doesn’t hear your order well and then don’t even have the courtesy to talk to their customer well and get their order replaced.👎🏻",Riverside,Modern,Gluten-free options,Outdoor,Yes,Open Mic Nights,7 AM - 10 PM,Almond,Only Beverages,contact@fyro.com,9.19E+11
27,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,Very bad salad. Stale refried chicken. Had not expected such bad quality food from this place. Tasted and then ordered something else from upper crust.,Riverside,Rustic,Gluten-free options,Both,Yes,Live Music,7 AM - 10 PM,Almond,Vegan & Organic Food,contact@ilovesandwichhouse.com,9.18E+11
28,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,the rosti is undercooked and there is no spoon or fork. how to eat it in an office,City Center,Cozy,Vegan-friendly,Indoor,Yes,Open Mic Nights,6 AM - 8 PM,Almond,Full Breakfast & Lunch,contact@ilovesandwichhouse.com,9.18E+11
29,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,More pieces of avocado and placement of pieces would be yumm ,Riverside,Modern,Gluten-free options,Outdoor,Yes,Pet-friendly,8 AM - 11 PM,Almond,Full Breakfast & Lunch,contact@ilovesandwichhouse.com,9.17E+11
30,I Love Sandwich House,3.9,"Cafe, Fast Food, Tea, Beverages, Sandwich, Coffee","1,100",ahmedabad,Bad taste,Riverside,Modern,None,Indoor,No,Pet-friendly,8 AM - 11 PM,Oat,Vegan & Organic Food,contact@ilovesandwichhouse.com,9.20E+11
31,Oven The Bakery & Cafe,4.4,"Cafe, Sandwich, Pizza, Fast Food, Shake, Ice Cream, Coffee, Beverages",600,ahmedabad,Great delivery & quality,City Center,Cozy,Vegan-friendly,Both,Yes,Live Music,6 AM - 8 PM,Coconut,Full Breakfast & Lunch,contact@oventhebakeryandcafe.com,9.19E+11
32,Oven The Bakery & Cafe,4.4,"Cafe, Sandwich, Pizza, Fast Food, Shake, Ice Cream, Coffee, Beverages",600,ahmedabad,little overpriced may be due to zomato other than that it's good.,Downtown,Quiet,Keto-friendly,Outdoor,No,Board Games,8 AM - 11 PM,Coconut,Full Breakfast & Lunch,contact@oventhebakeryandcafe.com,9.19E+11
33,Oven The Bakery & Cafe,4.4,"Cafe, Sandwich, Pizza, Fast Food, Shake, Ice Cream, Coffee, Beverages",600,ahmedabad,really poor food quality.... totally waste of money .I'll never suggest this to anyone ,Suburb,Lively,None,Both,Yes,Open Mic Nights,9 AM - 9 PM,Almond,Vegan & Organic Food,contact@oventhebakeryandcafe.com,9.18E+11
34,Big Blue Bistro,-,"Cafe, Coffee, Shake, Beverages, Pizza, Fast Food, Chinese, North Indian","1,000",ahmedabad,it wasn't kathi roll at all .. it was Frankie ,Suburb,Modern,Keto-friendly,Outdoor,Yes,Board Games,8 AM - 11 PM,Soy,"Pastries, Sandwiches, Salads",contact@bigbluebistro.com,9.18E+11
35,Silver Fork Cafe & Restaurant,-,"North Indian, Chinese, Continental, Italian, Mexican, Cafe, Beverages",900,ahmedabad,"""I had an amazing experience at Silver Fork! The hotel's 5-star service truly exceeded my expectations. The dinner was outstanding, and the food was delicious - every dish was a culinary delight. . I recommend Silver Fork for anyone looking food good food",Old Town,Cozy,None,Outdoor,Yes,Open Mic Nights,6 AM - 8 PM,None,Vegan & Organic Food,contact@silverforkcafeandrestaurant.com,9.17E+11
36,Silver Fork Cafe & Restaurant,-,"North Indian, Chinese, Continental, Italian, Mexican, Cafe, Beverages",900,ahmedabad,"Food is very good. Ambience  is good. No waiting periode. Enough space to enjoy,  specially  suitable  for Birthday party,  Marriage Anniversary  party,  Angagement party etc. ",Suburb,Modern,Vegan-friendly,Outdoor,No,Open Mic Nights,7 AM - 10 PM,Almond,Vegan & Organic Food,contact@silverforkcafeandrestaurant.com,9.18E+11
37,Lil' Heaven Cafe,3.5,"Cafe, North Indian, Italian, Sandwich, Beverages, Shake",950,ahmedabad,Pasta were a little too spicy. Please make less spicy food next time.,City Center,Quiet,Vegan-friendly,Outdoor,No,Pet-friendly,8 AM - 11 PM,Almond,Only Beverages,contact@lil'heavencafe.com,9.17E+11
38,Lil' Heaven Cafe,3.5,"Cafe, North Indian, Italian, Sandwich, Beverages, Shake",950,ahmedabad,PoorI ordered jain & they delivered with onionsI used to try new things that’s why I ordered but disappointed,Old Town,Quiet,None,Indoor,No,Board Games,7 AM - 10 PM,Coconut,Only Beverages,contact@lil'heavencafe.com,9.19E+11
39,Wagh Bakri Tea Lounge,4,"Cafe, Beverages, Fast Food, Desserts, Tea","1,000",ahmedabad,very nice packing and food ,Old Town,Rustic,Gluten-free options,Both,No,Pet-friendly,8 AM - 11 PM,Oat,Only Beverages,contact@waghbakritealounge.com,9.20E+11
40,Wagh Bakri Tea Lounge,4,"Cafe, Beverages, Fast Food, Desserts, Tea","1,000",ahmedabad,Taking of way of this guy very bad to the zomato customer,Downtown,Rustic,Gluten-free options,Both,Yes,Pet-friendly,9 AM - 9 PM,Soy,"Pastries, Sandwiches, Salads",contact@waghbakritealounge.com,9.20E+11
41,Rasa Restro Cafe,4.1,"Cafe, North Indian, Italian, Mexican, Thai, Biryani, Desserts, Beverages","1,100",ahmedabad,add more creamy gravy in pasto pasta it's only pasta gravy are not there ,Old Town,Cozy,Vegan-friendly,Both,No,Pet-friendly,7 AM - 10 PM,Coconut,Only Beverages,contact@rasarestrocafe.com,9.18E+11
42,Indie Brewed Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Fast Food",500,ahmedabad,Very bad iced AmericanoDon’t order from here,Downtown,Rustic,None,Indoor,Yes,Board Games,8 AM - 11 PM,Oat,"Pastries, Sandwiches, Salads",contact@indiebrewedcafe.com,9.16E+11
43,Indie Brewed Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Fast Food",500,ahmedabad,Ordered from here thrice. I love what they offer. Price is very reasonable. They have shifted from Sindhu Bhavan Road to now opposite Alpha Mall. Order without a second thought.. ,City Center,Lively,None,Outdoor,Yes,Live Music,7 AM - 10 PM,Soy,Vegan & Organic Food,contact@indiebrewedcafe.com,9.20E+11
44,Indie Brewed Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Fast Food",500,ahmedabad,There is no ice in peach iced tea in fact it is not even cold,Downtown,Quiet,Keto-friendly,Indoor,No,Board Games,6 AM - 8 PM,Soy,"Pastries, Sandwiches, Salads",contact@indiebrewedcafe.com,9.18E+11
45,Aarambh Cafe,-,"Cafe, Coffee, South Indian, Street Food",500,ahmedabad,"Nestled within the CEE campus in the Thaltej area of Ahmedabad, Café Aarambh offers a tranquil and serene ambience, providing a much-needed respite from the hustle and bustle of the city. While this café remains relatively unknown to many city dwellers, its peaceful atmosphere makes it a hidden gem worth discovering.However, when it comes to the culinary aspect, Café Aarambh falls short of expectations. The food offerings, unfortunately, do not match the serene ambience. The taste of the dishes is rather average, leaving much to be desired, especially considering the price one pays. The limited food options available might disappoint those looking for a diverse range of choices.One...read more",Riverside,Lively,Vegan-friendly,Both,Yes,Live Music,6 AM - 8 PM,Soy,"Pastries, Sandwiches, Salads",contact@aarambhcafe.com,9.18E+11
46,Oven The Bakery & Cafe,3.4,"Cafe, Bakery, Waffle, Desserts, Beverages",850,ahmedabad,"Extreme oily,  Veg puff was not at all fresh.",Old Town,Rustic,Keto-friendly,Both,Yes,Board Games,8 AM - 11 PM,Oat,"Pastries, Sandwiches, Salads",contact@oventhebakeryandcafe.com,9.18E+11
47,Oven The Bakery & Cafe,3.4,"Cafe, Bakery, Waffle, Desserts, Beverages",850,ahmedabad,"The cake was stale, and the box's smell was coming.",Suburb,Modern,Gluten-free options,Both,No,Open Mic Nights,8 AM - 11 PM,Oat,Vegan & Organic Food,contact@oventhebakeryandcafe.com,9.17E+11
48,Oven The Bakery & Cafe,3.4,"Cafe, Bakery, Waffle, Desserts, Beverages",850,ahmedabad,"it's a good place and I can vouch for their cheesecakes but they cheat you, first of all their dine in price for cheesecake is 200 and in Zomato they show 300. I have Zomato gold and they would refuse me to pay through it by saying the Zomato 20% discount is only on menu but when you see their dining page, the first photo they have is of a cheesecake! hypocrisy? I love their cheesecakes but i don't like cheaters so I'd not go there again!",Old Town,Cozy,None,Both,No,Pet-friendly,9 AM - 9 PM,Oat,Vegan & Organic Food,contact@oventhebakeryandcafe.com,9.20E+11
49,Sphere Lounge - Hotel Ramada,4.2,"Cafe, North Indian, Chinese, Fast Food, Italian, Street Food, Sandwich, Panini",950,ahmedabad,must visit ,Downtown,Cozy,None,Indoor,No,Pet-friendly,6 AM - 8 PM,Coconut,"Pastries, Sandwiches, Salads",contact@spherelounge-hotelramada.com,9.17E+11
50,Sphere Lounge - Hotel Ramada,4.2,"Cafe, North Indian, Chinese, Fast Food, Italian, Street Food, Sandwich, Panini",950,ahmedabad,Very very expensive & Agli oily pasta were not good at all. Portion size was very small. I highly do not recommend to order from this place.,Old Town,Modern,None,Outdoor,Yes,Live Music,7 AM - 10 PM,Almond,Only Beverages,contact@spherelounge-hotelramada.com,9.20E+11
51,Smash Cafe,4.1,"Cafe, Fast Food, North Indian, Beverages",600,ahmedabad,Excellent food. Menu is extensive and seasonal to a particularly high standard. Highly recommended. ,Riverside,Lively,None,Both,No,Live Music,8 AM - 11 PM,None,"Pastries, Sandwiches, Salads",contact@smashcafe.com,9.19E+11
52,Brewers - The Coffee Bar,3.9,"Cafe, Fast Food, Italian, North Indian, Mexican, Street Food, Salad, Beverages",350,ahmedabad,Half of the coffee was spilled in the bag.,Suburb,Cozy,Gluten-free options,Both,Yes,Open Mic Nights,7 AM - 10 PM,Almond,Only Beverages,contact@brewers-thecoffeebar.com,9.18E+11
53,Brewer Cafe & Restro,3.1,"Cafe, Pizza, Burger, Sandwich, Fast Food, Desserts, Beverages",600,ahmedabad,due to unavailability my order was replaced to burger which was not also good.. aloo tikki burger's bun are grilled/heated on pan with ghee and as per the taste tikki felt like frozen tikki and not proper amount of sauces.,Riverside,Cozy,None,Both,Yes,Live Music,8 AM - 11 PM,Oat,"Pastries, Sandwiches, Salads",contact@brewercafeandrestro.com,9.20E+11
54,Brewer Cafe & Restro,3.1,"Cafe, Pizza, Burger, Sandwich, Fast Food, Desserts, Beverages",600,ahmedabad,"Extremely less quantity according to the price, one person doing cooking, serving everything, thus too long waiting time. ",Riverside,Cozy,None,Outdoor,No,Live Music,7 AM - 10 PM,None,Only Beverages,contact@brewercafeandrestro.com,9.17E+11
55,Brewer Cafe & Restro,3.1,"Cafe, Pizza, Burger, Sandwich, Fast Food, Desserts, Beverages",600,ahmedabad,Worst,Old Town,Rustic,Keto-friendly,Outdoor,No,None,8 AM - 11 PM,Oat,Only Beverages,contact@brewercafeandrestro.com,9.17E+11
56,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,Won’t order from here again . Regret,Suburb,Quiet,Gluten-free options,Indoor,Yes,Live Music,8 AM - 11 PM,Oat,Full Breakfast & Lunch,contact@cafecatchers.com,9.19E+11
57,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,"Recently visited this newly opened place near Vastrapur to try their food. I had tried their special Mocktail, Maxican sizzler, stuffed mushroom and sizzling hot brownie. Food was delicious and freshly made. They have some discount and BOGo offers going on for January month. Must check and take benefits of it..",Downtown,Cozy,Keto-friendly,Outdoor,No,None,9 AM - 9 PM,Oat,Only Beverages,contact@cafecatchers.com,9.19E+11
58,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,Best food!!!Thai was excellent as well as punjabi!!A must visit place for foodies!!!Nice and cozy place to sit with friends and family!!,Downtown,Lively,Keto-friendly,Both,No,None,7 AM - 10 PM,Oat,"Pastries, Sandwiches, Salads",contact@cafecatchers.com,9.16E+11
59,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,A place to visit for food lovers in Ahmedabad . Such and appealing vibe the place had with delicious food by the side.They had one of the best North Indian food I hadAlso they have wide range of cuisines available along with unique starters from Indian to Italian and Mexican cuisineDo visit this place with your friends and familyMy recommendationThai curry with herb riceCheese balls,Old Town,Modern,Keto-friendly,Indoor,Yes,Live Music,8 AM - 11 PM,Soy,Only Beverages,contact@cafecatchers.com,9.17E+11
60,Shambhu's Coffee Bar,3.3,"Cafe, Shake, Beverages, Sandwich, Pizza, Fast Food, Desserts",500,ahmedabad,I went here for the second time with my husband; have ordered ‘Dark Fantasy’ and ‘Brownie with Coffee’ thik shakes. Both were good in taste - not amazing but regular in taste. The ambience is also average - they have indoor as well as outdoor sitting which are not much maintained. Even their Gpay was not working which was shocking and a downside.,City Center,Cozy,Keto-friendly,Outdoor,Yes,Live Music,6 AM - 8 PM,Soy,Full Breakfast & Lunch,contact@shambhu'scoffeebar.com,9.17E+11
61,Vince Cafe,3.9,"Cafe, Beverages, Fast Food, Shake, Sandwich, Chinese",450,ahmedabad,Good vibes in this cafe. Liked food quality. Beverages are too good and worth trying. Open cafe with good music and sometimes events ,Suburb,Lively,Keto-friendly,Both,Yes,Live Music,6 AM - 8 PM,Oat,Only Beverages,contact@vincecafe.com,9.18E+11
62,Vince Cafe,3.9,"Cafe, Beverages, Fast Food, Shake, Sandwich, Chinese",450,ahmedabad,"Avoid visiting this place.They've been degrading with time.Food is creep, cringe.Just hyped somehow, totally avoid ",City Center,Lively,Keto-friendly,Outdoor,Yes,Open Mic Nights,8 AM - 11 PM,Oat,"Pastries, Sandwiches, Salads",contact@vincecafe.com,9.19E+11
63,Vince Cafe,3.9,"Cafe, Beverages, Fast Food, Shake, Sandwich, Chinese",450,ahmedabad,"Super friendly place with the best interior design and spacious enough to accommodate many at a time. Love the vibe it creates. Amazing items on the menu, best for nightlife in Ahmedabad 👌🏻",Suburb,Lively,None,Indoor,Yes,Open Mic Nights,6 AM - 8 PM,Coconut,Only Beverages,contact@vincecafe.com,9.17E+11
64,Cafe Selfie,3.9,"Cafe, Beverages, Shake, Fast Food",500,ahmedabad,vary small ,Suburb,Modern,Keto-friendly,Both,Yes,Pet-friendly,8 AM - 11 PM,Almond,Full Breakfast & Lunch,contact@cafeselfie.com,9.18E+11
65,Cafe Selfie,3.9,"Cafe, Beverages, Shake, Fast Food",500,ahmedabad,Good and Fresh staff members,Downtown,Modern,Keto-friendly,Indoor,No,Live Music,8 AM - 11 PM,Soy,Only Beverages,contact@cafeselfie.com,9.17E+11
66,Cafe Selfie,3.9,"Cafe, Beverages, Shake, Fast Food",500,ahmedabad,Nice place for food and specially Location is nice and all shakes are awesome food is superb will inform to everyone visit this place onces.,Suburb,Cozy,None,Both,No,Pet-friendly,8 AM - 11 PM,None,"Pastries, Sandwiches, Salads",contact@cafeselfie.com,9.18E+11
67,Chai Hai Na,3.6,"Cafe, Fast Food, Street Food, Beverages",550,ahmedabad,I don't know but the original taste of badam chai is missing out since last 2 days.... not sure what's wrong,Suburb,Quiet,None,Indoor,Yes,Board Games,8 AM - 11 PM,None,Full Breakfast & Lunch,contact@chaihaina.com,9.18E+11
68,Chai Hai Na,3.6,"Cafe, Fast Food, Street Food, Beverages",550,ahmedabad,Badam shake is not good not bad. It's taste must be improve,Downtown,Rustic,Keto-friendly,Indoor,Yes,Pet-friendly,9 AM - 9 PM,Oat,Only Beverages,contact@chaihaina.com,9.19E+11
69,Busy Beans,3.9,"Cafe, Beverages, Fast Food",500,ahmedabad,Pure coffee  beans test and delicious...Good quality and packaging...Must try Blueberry Orea Shake...And if Coffee  lover than order Hazelnut  cold coffee....,Riverside,Quiet,Vegan-friendly,Both,No,Open Mic Nights,8 AM - 11 PM,Oat,"Pastries, Sandwiches, Salads",contact@busybeans.com,9.16E+11
70,58 Cafe House,-,"Cafe, Coffee, Fast Food, Beverages",500,ahmedabad,Sugarless coffee and not send with sugar totally wasted of money,Downtown,Quiet,None,Both,Yes,Pet-friendly,7 AM - 10 PM,Coconut,"Pastries, Sandwiches, Salads",contact@58cafehouse.com,9.19E+11
71,58 Cafe House,-,"Cafe, Coffee, Fast Food, Beverages",500,ahmedabad,Nice food 👍,Suburb,Cozy,None,Indoor,Yes,Pet-friendly,8 AM - 11 PM,None,Full Breakfast & Lunch,contact@58cafehouse.com,9.20E+11
72,58 Cafe House,-,"Cafe, Coffee, Fast Food, Beverages",500,ahmedabad,worst chess used ... it's look like wee eat aata ..,City Center,Lively,Vegan-friendly,Indoor,Yes,None,8 AM - 11 PM,None,Full Breakfast & Lunch,contact@58cafehouse.com,9.19E+11
73,Drunch,3.5,"Cafe, Coffee, Shake, Beverages, Pasta, Fast Food, Momos, Chinese",700,ahmedabad,so they were refusing to accept payment through Zomato.. our bill value wad 710 rupees but cafe owner saying that bill value should be 2000 or more fore making payment through Zomato. is this really a condition. This is not right at all.. ,Suburb,Lively,Gluten-free options,Both,No,Live Music,6 AM - 8 PM,Oat,Full Breakfast & Lunch,contact@drunch.com,9.16E+11
74,Drunch,3.5,"Cafe, Coffee, Shake, Beverages, Pasta, Fast Food, Momos, Chinese",700,ahmedabad,"A perfect open air cafe in ahmedabad. Live IPL screening everyday. They have refreshing mocktails. I tried their mocktails, pizza, pasta, and bowl. Food was delicious and quality is also amazing. They have different different sitting arrangements. A perfect place for plan a date or hangout with your friends.",Downtown,Modern,Keto-friendly,Both,No,None,6 AM - 8 PM,Almond,Full Breakfast & Lunch,contact@drunch.com,9.20E+11
